airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,3/18/2019,Banglore,New Delhi,14:05:00,21:20:00,435,1,No Info,16946
Air India,5/6/2019,Mumbai,Hyderabad,6:20:00,7:40:00,80,0,No Info,3625
Indigo,6/12/2019,Delhi,Cochin,8:35:00,16:10:00,455,1,No Info,6442
Jet Airways,5/21/2019,Kolkata,Banglore,21:10:00,9:20:00,730,1,In-flight meal not included,10844
Spicejet,4/12/2019,Kolkata,Banglore,9:00:00,11:25:00,145,0,No Info,3873
Jet Airways,6/9/2019,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,8016
Jet Airways,4/1/2019,Kolkata,Banglore,21:10:00,9:20:00,730,1,In-flight meal not included,8849
Goair,6/3/2019,Delhi,Cochin,7:00:00,12:55:00,355,1,No Info,4959
Jet Airways,6/18/2019,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,5769
Vistara,6/6/2019,Kolkata,Banglore,17:00:00,23:25:00,385,1,No Info,8610
Indigo,3/27/2019,Delhi,Cochin,7:30:00,15:30:00,480,1,No Info,8574
Indigo,6/15/2019,Delhi,Cochin,5:05:00,16:10:00,665,1,No Info,6818
Indigo,5/9/2019,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,4392
Air India,5/15/2019,Delhi,Cochin,18:05:00,21:10:00,185,0,No Info,6094
Air India,3/24/2019,Banglore,New Delhi,17:00:00,22:55:00,1795,2,No Info,8114
Air India,4/1/2019,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,5911
Jet Airways,6/1/2019,Delhi,Cochin,20:00:00,4:25:00,505,2,In-flight meal not included,15318
Air Asia,6/12/2019,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,3383
Jet Airways,3/6/2019,Banglore,New Delhi,8:55:00,9:00:00,1445,1,No Info,15025
Jet Airways,3/9/2019,Delhi,Cochin,2:15:00,19:45:00,1050,1,In-flight meal not included,13843
Air India,6/15/2019,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,3100
Indigo,3/1/2019,Kolkata,Banglore,17:15:00,19:55:00,160,0,No Info,6565
Indigo,5/18/2019,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4804
Spicejet,3/24/2019,Mumbai,Hyderabad,22:45:00,0:10:00,85,0,No check-in baggage included,2175
Jet Airways,3/21/2019,Delhi,Cochin,19:15:00,18:50:00,1415,2,In-flight meal not included,8938
Jet Airways,3/21/2019,Delhi,Cochin,10:45:00,4:25:00,1060,2,No Info,11093
Jet Airways,5/12/2019,Kolkata,Banglore,21:10:00,12:00:00,890,1,No Info,14388
Indigo,6/24/2019,Delhi,Cochin,11:55:00,22:30:00,635,1,No Info,6442
Air India,4/27/2019,Delhi,Cochin,5:10:00,8:00:00,170,0,No Info,6094
Spicejet,3/27/2019,Kolkata,Banglore,22:20:00,0:40:00,140,0,No Info,3847
Jet Airways,3/6/2019,Banglore,New Delhi,16:55:00,11:25:00,1110,1,No Info,17261
Spicejet,3/3/2019,Banglore,New Delhi,15:35:00,23:40:00,485,1,No Info,6315
Jet Airways,4/1/2019,Mumbai,Hyderabad,7:05:00,8:30:00,85,0,No Info,8040
Jet Airways,5/6/2019,Kolkata,Banglore,9:35:00,18:00:00,505,1,In-flight meal not included,12384
Indigo,5/3/2019,Kolkata,Banglore,22:15:00,0:50:00,155,0,No Info,4804
Multiple Carriers,5/27/2019,Delhi,Cochin,3:50:00,19:00:00,910,1,No Info,10197
Multiple Carriers,3/6/2019,Delhi,Cochin,9:45:00,16:10:00,385,1,No Info,10276
Jet Airways,5/18/2019,Kolkata,Banglore,16:30:00,23:35:00,425,1,No Info,14781
Jet Airways,5/1/2019,Kolkata,Banglore,20:25:00,23:35:00,1630,1,In-flight meal not included,9314
Vistara,5/24/2019,Kolkata,Banglore,20:20:00,22:40:00,1580,1,No Info,8452
Indigo,4/12/2019,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,4591
Indigo,3/21/2019,Delhi,Cochin,2:35:00,8:30:00,355,1,No Info,8470
Indigo,5/27/2019,Delhi,Cochin,11:25:00,21:00:00,575,1,No Info,6314
Multiple Carriers,5/9/2019,Delhi,Cochin,7:30:00,21:00:00,810,1,No Info,7670
Indigo,3/12/2019,Kolkata,Banglore,15:10:00,17:45:00,155,0,No Info,4148
Indigo,5/1/2019,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,5644
Indigo,3/24/2019,Kolkata,Banglore,15:10:00,20:15:00,305,1,No Info,6762
Jet Airways,5/6/2019,Kolkata,Banglore,6:30:00,16:20:00,590,1,In-flight meal not included,10844
Indigo,5/15/2019,Delhi,Cochin,15:10:00,20:00:00,290,1,No Info,6027
Spicejet,6/27/2019,Mumbai,Hyderabad,22:45:00,0:15:00,90,0,No check-in baggage included,1965
Air India,5/21/2019,Kolkata,Banglore,16:50:00,5:35:00,765,2,No Info,12324
Jet Airways,3/6/2019,Banglore,New Delhi,5:45:00,23:00:00,1035,1,No Info,16736
Jet Airways,5/9/2019,Delhi,Cochin,21:50:00,19:00:00,1270,1,No Info,15554
Air India,4/15/2019,Banglore,Delhi,17:00:00,19:45:00,165,0,No Info,6121
Vistara,5/1/2019,Kolkata,Banglore,7:10:00,22:40:00,930,1,No Info,8452
Jet Airways,6/24/2019,Delhi,Cochin,18:20:00,4:25:00,605,2,No Info,13775
Indigo,6/6/2019,Banglore,Delhi,21:15:00,0:15:00,180,0,No Info,3943
Spicejet,6/15/2019,Kolkata,Banglore,6:55:00,9:30:00,155,0,No check-in baggage included,3841
Multiple Carriers,6/1/2019,Delhi,Cochin,10:00:00,1:30:00,930,1,No Info,13377
Spicejet,4/6/2019,Kolkata,Banglore,17:10:00,19:40:00,150,0,No Info,3873
Spicejet,6/24/2019,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,3597
Vistara,3/3/2019,Banglore,New Delhi,9:50:00,12:35:00,165,0,No Info,8028
Jet Airways,4/1/2019,Kolkata,Banglore,16:30:00,16:20:00,1430,1,No Info,12681
Air India,5/9/2019,Kolkata,Banglore,12:00:00,18:30:00,1830,2,No Info,9626
Jet Airways,6/6/2019,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Vistara,5/21/2019,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,4878
Jet Airways,6/6/2019,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,10262
Air India,6/18/2019,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,3100
Air Asia,4/18/2019,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Indigo,5/1/2019,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,2754
Air India,5/21/2019,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,10231
Spicejet,4/9/2019,Banglore,Delhi,9:30:00,12:20:00,170,0,No check-in baggage included,4319
Spicejet,5/21/2019,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No Info,2017
Air India,4/1/2019,Kolkata,Banglore,9:25:00,10:30:00,1505,2,No Info,12009
Jet Airways,6/9/2019,Kolkata,Banglore,10:20:00,17:35:00,435,1,In-flight meal not included,5608
Indigo,3/3/2019,Delhi,Cochin,9:10:00,21:00:00,710,1,No Info,14871
Spicejet,5/1/2019,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,2385
Multiple Carriers,6/9/2019,Delhi,Cochin,11:35:00,1:30:00,835,3,No Info,15419
Jet Airways,3/9/2019,Banglore,New Delhi,21:25:00,7:40:00,615,1,In-flight meal not included,7832
Indigo,6/1/2019,Mumbai,Hyderabad,2:35:00,4:05:00,90,0,No Info,3175
Jet Airways,3/9/2019,Delhi,Cochin,20:50:00,18:50:00,1320,1,No Info,16289
Indigo,3/3/2019,Kolkata,Banglore,5:30:00,8:20:00,170,0,No Info,4778
Indigo,3/21/2019,Banglore,New Delhi,10:10:00,13:00:00,170,0,No Info,4777
Jet Airways,4/1/2019,Kolkata,Banglore,16:30:00,22:35:00,365,1,No Info,12681
Vistara,5/1/2019,Kolkata,Banglore,20:20:00,10:45:00,865,1,No Info,9187
Air India,3/27/2019,Delhi,Cochin,7:05:00,9:25:00,1580,2,No Info,6565
Indigo,6/3/2019,Delhi,Cochin,7:35:00,16:10:00,515,1,No Info,7514
Indigo,3/24/2019,Banglore,New Delhi,18:25:00,21:20:00,175,0,No Info,8033
Jet Airways,5/12/2019,Kolkata,Banglore,14:05:00,19:50:00,345,1,No Info,14781
Indigo,6/1/2019,Delhi,Cochin,7:15:00,12:30:00,315,1,No Info,6582
Multiple Carriers,5/27/2019,Delhi,Cochin,7:05:00,21:00:00,835,1,In-flight meal not included,10406
Multiple Carriers,3/21/2019,Delhi,Cochin,9:10:00,18:50:00,580,1,No Info,13069
Indigo,5/9/2019,Chennai,Kolkata,7:55:00,10:15:00,140,0,No Info,3850
Multiple Carriers,5/18/2019,Delhi,Cochin,7:10:00,22:30:00,920,1,No Info,7740
Jet Airways,6/9/2019,Delhi,Cochin,7:05:00,4:25:00,1280,1,In-flight meal not included,10262
Vistara,4/21/2019,Banglore,Delhi,9:45:00,12:35:00,170,0,No Info,5403
Indigo,5/6/2019,Kolkata,Banglore,21:00:00,2:15:00,315,1,No Info,7252
Multiple Carriers,3/6/2019,Delhi,Cochin,10:00:00,18:50:00,530,1,No Info,16497
Jet Airways,6/6/2019,Kolkata,Banglore,17:00:00,23:35:00,395,1,No Info,14151
Jet Airways,3/15/2019,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,2759
Jet Airways,3/24/2019,Kolkata,Banglore,13:55:00,18:10:00,1695,1,No Info,14231
Multiple Carriers,5/9/2019,Delhi,Cochin,17:45:00,1:30:00,465,1,No Info,9021
Jet Airways,5/9/2019,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,12373
Air India,6/6/2019,Kolkata,Banglore,14:30:00,23:15:00,525,2,No Info,15894
Vistara,6/12/2019,Banglore,Delhi,7:00:00,9:40:00,160,0,No Info,4668
Multiple Carriers,3/6/2019,Delhi,Cochin,7:10:00,21:20:00,850,2,In-flight meal not included,7731
Indigo,5/21/2019,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,3943
Indigo,6/12/2019,Kolkata,Banglore,9:20:00,14:15:00,295,1,No Info,11160
Multiple Carriers,3/21/2019,Delhi,Cochin,14:00:00,1:35:00,695,1,No Info,13542
Jet Airways,5/21/2019,Kolkata,Banglore,16:30:00,4:40:00,730,1,In-flight meal not included,9663
Jet Airways,3/6/2019,Banglore,New Delhi,21:25:00,20:20:00,1375,1,No Info,17471
Jet Airways,5/6/2019,Kolkata,Banglore,21:10:00,9:20:00,730,1,In-flight meal not included,9663
Multiple Carriers,6/6/2019,Delhi,Cochin,4:55:00,19:00:00,845,1,No Info,10678
Vistara,6/12/2019,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6216
Spicejet,6/6/2019,Banglore,Delhi,5:55:00,8:35:00,160,0,No Info,3625
Indigo,3/24/2019,Banglore,New Delhi,18:55:00,21:45:00,170,0,No Info,7303
Jet Airways,5/6/2019,Kolkata,Banglore,6:30:00,9:20:00,1610,1,In-flight meal not included,9663
Indigo,5/24/2019,Banglore,Delhi,1:30:00,4:15:00,165,0,No Info,3419
Spicejet,4/6/2019,Banglore,Delhi,9:30:00,12:20:00,170,0,No Info,4423
Air India,5/9/2019,Kolkata,Banglore,10:00:00,23:15:00,795,1,No Info,10203
Air India,6/15/2019,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,11241
Indigo,6/24/2019,Mumbai,Hyderabad,12:00:00,13:30:00,90,0,No Info,2754
Air India,4/3/2019,Kolkata,Banglore,9:10:00,11:05:00,1555,2,No Info,4647
Jet Airways,6/27/2019,Delhi,Cochin,19:30:00,12:35:00,1025,2,No Info,13764
Multiple Carriers,5/27/2019,Delhi,Cochin,8:00:00,21:00:00,780,1,No Info,7618
Spicejet,6/18/2019,Kolkata,Banglore,9:00:00,11:25:00,145,0,No Info,3873
Spicejet,6/15/2019,Chennai,Kolkata,9:45:00,12:00:00,135,0,No Info,3597
Jet Airways,5/12/2019,Kolkata,Banglore,6:30:00,18:15:00,705,1,In-flight meal not included,10844
Jet Airways,6/1/2019,Delhi,Cochin,18:15:00,19:00:00,1485,1,No Info,14714
Air India,3/21/2019,Delhi,Cochin,9:00:00,19:15:00,615,1,No Info,6902
Jet Airways,3/24/2019,Kolkata,Banglore,19:45:00,18:10:00,1345,1,In-flight meal not included,10031
Jet Airways,5/6/2019,Kolkata,Banglore,6:30:00,10:05:00,1655,1,In-flight meal not included,8586
Jet Airways,5/21/2019,Delhi,Cochin,17:30:00,4:25:00,655,1,In-flight meal not included,12898
Jet Airways,5/9/2019,Kolkata,Banglore,14:05:00,4:40:00,875,1,No Info,13941
Vistara,3/9/2019,Banglore,New Delhi,9:50:00,12:35:00,165,0,No Info,11598
Jet Airways,3/6/2019,Delhi,Cochin,17:30:00,19:45:00,1575,1,No Info,17024
Indigo,5/18/2019,Delhi,Cochin,11:25:00,21:00:00,575,1,No Info,7191
Jet Airways,6/15/2019,Delhi,Cochin,18:15:00,12:35:00,1100,1,In-flight meal not included,10262
Indigo,6/9/2019,Kolkata,Banglore,15:15:00,17:45:00,150,0,No Info,5224
Air India,3/27/2019,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,2575
Jet Airways,3/6/2019,Delhi,Cochin,8:00:00,4:25:00,1225,1,No Info,15974
Vistara,5/6/2019,Kolkata,Banglore,17:00:00,20:20:00,1640,1,No Info,8610
Multiple Carriers,5/9/2019,Delhi,Cochin,12:50:00,1:30:00,760,1,No Info,34273
Air India,6/6/2019,Kolkata,Banglore,8:20:00,21:50:00,810,2,No Info,10697
Goair,6/9/2019,Delhi,Cochin,7:00:00,12:55:00,355,1,No Info,5897
Jet Airways,6/9/2019,Banglore,Delhi,7:10:00,10:10:00,180,0,In-flight meal not included,7229
Indigo,3/27/2019,Kolkata,Banglore,5:30:00,8:20:00,170,0,No Info,4148
Air India,3/1/2019,Banglore,New Delhi,11:05:00,9:15:00,1330,1,No Info,13439
Spicejet,6/12/2019,Kolkata,Banglore,9:00:00,11:25:00,145,0,No Info,3873
Vistara,6/3/2019,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,4878
Indigo,4/6/2019,Banglore,Delhi,20:00:00,22:50:00,170,0,No Info,4823
Jet Airways,3/21/2019,Banglore,New Delhi,14:05:00,20:20:00,375,1,In-flight meal not included,7832
Jet Airways,5/6/2019,Kolkata,Banglore,20:25:00,23:35:00,1630,1,In-flight meal not included,8066
Multiple Carriers,3/9/2019,Delhi,Cochin,8:40:00,19:45:00,665,1,No Info,18492
Air India,6/9/2019,Kolkata,Banglore,7:00:00,1:20:00,1100,2,No Info,13033
Multiple Carriers,5/21/2019,Delhi,Cochin,18:15:00,1:30:00,435,1,No Info,14067
Indigo,3/18/2019,Chennai,Kolkata,7:55:00,10:15:00,140,0,No Info,3850
Multiple Carriers,5/24/2019,Delhi,Cochin,9:00:00,19:00:00,600,1,No Info,10197
Air India,5/6/2019,Kolkata,Banglore,9:25:00,1:20:00,955,2,No Info,11458
Jet Airways,3/21/2019,Banglore,New Delhi,8:00:00,7:40:00,1420,1,In-flight meal not included,7832
Jet Airways,5/21/2019,Kolkata,Banglore,16:30:00,4:40:00,730,1,No Info,14388
Jet Airways,6/24/2019,Delhi,Cochin,18:15:00,4:25:00,610,1,In-flight meal not included,10262
Indigo,3/9/2019,Delhi,Cochin,11:55:00,21:20:00,565,2,No Info,8378
Jet Airways,5/21/2019,Delhi,Cochin,16:00:00,19:00:00,1620,1,No Info,16079
Jet Airways,3/27/2019,Delhi,Cochin,18:15:00,4:25:00,610,1,In-flight meal not included,6540
Multiple Carriers,3/3/2019,Delhi,Cochin,7:10:00,21:20:00,850,2,In-flight meal not included,8938
Jet Airways,6/24/2019,Delhi,Cochin,2:15:00,12:35:00,620,1,No Info,18371
Air India,5/9/2019,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,8372
Jet Airways,4/6/2019,Banglore,Delhi,7:10:00,10:10:00,180,0,No Info,7229
Vistara,6/24/2019,Banglore,Delhi,21:00:00,23:50:00,170,0,No Info,4668
Jet Airways,4/15/2019,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,4544
Jet Airways,3/9/2019,Banglore,New Delhi,21:25:00,8:15:00,650,1,In-flight meal not included,9134
Indigo,3/15/2019,Mumbai,Hyderabad,12:00:00,13:25:00,85,0,No Info,3175
Indigo,3/21/2019,Delhi,Cochin,7:30:00,15:30:00,480,1,No Info,10208
Multiple Carriers,6/24/2019,Delhi,Cochin,12:50:00,21:00:00,490,1,In-flight meal not included,6007
Jet Airways,5/18/2019,Delhi,Cochin,9:40:00,12:35:00,1615,2,In-flight meal not included,13029
Jet Airways,3/18/2019,Banglore,New Delhi,22:50:00,10:25:00,695,1,In-flight meal not included,11087
Multiple Carriers,5/27/2019,Delhi,Cochin,9:00:00,21:00:00,720,1,No Info,7618
Jet Airways,4/1/2019,Kolkata,Banglore,14:05:00,23:35:00,570,1,No Info,13364
Spicejet,4/1/2019,Delhi,Cochin,8:45:00,13:15:00,270,1,No Info,4812
Jet Airways,6/18/2019,Banglore,Delhi,8:20:00,11:20:00,180,0,No Info,8016
Jet Airways,5/15/2019,Kolkata,Banglore,8:25:00,19:50:00,685,1,In-flight meal not included,10844
Jet Airways,5/18/2019,Banglore,Delhi,7:10:00,10:10:00,180,0,In-flight meal not included,5198
Indigo,5/18/2019,Delhi,Cochin,17:10:00,1:30:00,500,1,No Info,7081
Air Asia,5/24/2019,Banglore,Delhi,23:55:00,2:45:00,170,0,No Info,4483
Air Asia,3/3/2019,Banglore,New Delhi,23:25:00,2:10:00,165,0,No Info,6477
Spicejet,3/21/2019,Kolkata,Banglore,6:55:00,9:35:00,160,0,No check-in baggage included,3815
Jet Airways,6/12/2019,Kolkata,Banglore,20:00:00,12:00:00,960,1,No Info,13044
Jet Airways,5/18/2019,Kolkata,Banglore,9:35:00,14:25:00,1730,1,No Info,13067
Air Asia,5/18/2019,Kolkata,Banglore,7:35:00,19:25:00,710,1,No Info,5192
Jet Airways,6/9/2019,Kolkata,Banglore,6:30:00,4:40:00,1330,1,In-flight meal not included,9663
Jet Airways,3/18/2019,Banglore,New Delhi,14:05:00,5:05:00,900,1,No Info,13555
Indigo,3/24/2019,Mumbai,Hyderabad,16:55:00,18:25:00,90,0,No Info,3175
Indigo,3/24/2019,Banglore,New Delhi,6:00:00,8:45:00,165,0,No Info,4777
Multiple Carriers,5/9/2019,Delhi,Cochin,9:00:00,19:00:00,600,1,No Info,10197
Indigo,6/24/2019,Mumbai,Hyderabad,9:10:00,10:40:00,90,0,No Info,4049
Air India,3/27/2019,Delhi,Cochin,17:40:00,8:15:00,875,1,No Info,5998
Spicejet,6/12/2019,Banglore,Delhi,5:55:00,8:35:00,160,0,No check-in baggage included,4319
Jet Airways,6/3/2019,Delhi,Cochin,15:00:00,19:00:00,1680,1,In-flight meal not included,10262
Jet Airways,5/12/2019,Kolkata,Banglore,16:30:00,22:35:00,365,1,In-flight meal not included,10844
Air India,6/27/2019,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,10441
Jet Airways,3/15/2019,Banglore,New Delhi,5:45:00,10:45:00,300,1,In-flight meal not included,9134
Air India,3/27/2019,Delhi,Cochin,6:05:00,9:25:00,1640,1,No Info,5117
Goair,6/1/2019,Delhi,Cochin,14:25:00,19:35:00,310,1,No Info,10651
Multiple Carriers,3/3/2019,Delhi,Cochin,7:05:00,13:20:00,375,1,No Info,17057
Jet Airways,4/12/2019,Banglore,Delhi,7:10:00,10:10:00,180,0,In-flight meal not included,5198
Jet Airways,6/15/2019,Delhi,Cochin,19:15:00,19:00:00,1425,1,In-flight meal not included,10262
Jet Airways,5/1/2019,Banglore,Delhi,15:15:00,18:10:00,175,0,No Info,7229
Jet Airways,6/12/2019,Delhi,Cochin,9:00:00,12:35:00,1655,1,In-flight meal not included,10262
Air India,3/12/2019,Banglore,New Delhi,11:50:00,19:50:00,480,1,No Info,11707
Indigo,5/9/2019,Delhi,Cochin,4:55:00,21:00:00,965,1,No Info,6979
Spicejet,4/21/2019,Kolkata,Banglore,22:20:00,0:40:00,140,0,No check-in baggage included,4807
Vistara,5/9/2019,Banglore,Delhi,7:00:00,9:40:00,160,0,No Info,4668
Multiple Carriers,6/6/2019,Delhi,Cochin,10:00:00,1:30:00,930,1,No Info,13377
Jet Airways,5/1/2019,Banglore,Delhi,8:20:00,11:20:00,180,0,No Info,7229
Multiple Carriers,6/12/2019,Delhi,Cochin,8:00:00,21:00:00,780,1,No Info,7408
Air India,4/27/2019,Delhi,Cochin,5:15:00,6:50:00,1535,1,No Info,6587
Jet Airways,6/6/2019,Delhi,Cochin,19:15:00,4:25:00,550,1,No Info,14714
Indigo,3/27/2019,Chennai,Kolkata,13:20:00,15:35:00,135,0,No Info,3384
Vistara,3/3/2019,Banglore,New Delhi,21:10:00,0:05:00,175,0,No Info,7608
Indigo,6/3/2019,Delhi,Cochin,4:55:00,21:00:00,965,1,No Info,6838
Indigo,6/1/2019,Kolkata,Banglore,22:15:00,0:50:00,155,0,No Info,4804
Jet Airways,3/15/2019,Banglore,New Delhi,8:55:00,8:15:00,1400,1,In-flight meal not included,10405
Multiple Carriers,4/9/2019,Delhi,Cochin,8:30:00,19:00:00,630,1,No Info,10877
Spicejet,3/12/2019,Chennai,Kolkata,8:20:00,10:35:00,135,0,No Info,6300
Vistara,3/1/2019,Banglore,New Delhi,6:40:00,21:55:00,915,1,No Info,18387
Air India,3/9/2019,Banglore,New Delhi,10:30:00,21:25:00,655,2,No Info,9586
Air India,5/18/2019,Kolkata,Banglore,16:45:00,21:05:00,1700,1,No Info,7872
Jet Airways,4/1/2019,Kolkata,Banglore,20:25:00,15:05:00,1120,1,No Info,11467
Jet Airways,5/27/2019,Delhi,Cochin,22:50:00,4:25:00,335,1,In-flight meal not included,12898
Air India,6/27/2019,Delhi,Cochin,20:15:00,19:15:00,1380,2,No Info,13591
Air Asia,5/27/2019,Delhi,Cochin,7:55:00,13:25:00,330,1,No Info,6451
Vistara,3/6/2019,Mumbai,Hyderabad,7:30:00,9:25:00,1555,1,No Info,12395
Jet Airways,5/1/2019,Kolkata,Banglore,8:25:00,16:20:00,475,1,In-flight meal not included,10844
Indigo,6/9/2019,Kolkata,Banglore,21:00:00,2:15:00,315,1,No Info,6911
Air India,5/9/2019,Kolkata,Banglore,16:45:00,8:55:00,970,2,No Info,13227
Spicejet,3/21/2019,Mumbai,Hyderabad,13:10:00,14:30:00,80,0,No Info,3173
Jet Airways,6/3/2019,Delhi,Cochin,16:00:00,19:00:00,1620,1,In-flight meal not included,10262
Jet Airways,5/1/2019,Kolkata,Banglore,16:30:00,22:35:00,365,1,No Info,14781
Jet Airways,3/24/2019,Kolkata,Banglore,21:10:00,18:10:00,1260,1,In-flight meal not included,10031
Jet Airways,6/1/2019,Delhi,Cochin,7:05:00,12:35:00,330,1,No Info,16079
Goair,5/3/2019,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,3898
Jet Airways,5/6/2019,Delhi,Cochin,5:30:00,4:25:00,1375,2,No Info,15129
Multiple Carriers,5/27/2019,Delhi,Cochin,7:30:00,21:00:00,810,1,No Info,8475
Jet Airways,3/21/2019,Delhi,Cochin,9:40:00,4:25:00,2565,2,No Info,12819
Indigo,3/3/2019,Banglore,New Delhi,7:10:00,10:05:00,175,0,No Info,6860
Jet Airways,5/9/2019,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,7229
Vistara,5/15/2019,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,4878
Air India,3/24/2019,Kolkata,Banglore,9:10:00,7:55:00,1365,2,No Info,15187
